ds,y,spx_close,fg_fng_value,btc_eth_ratio,fg_fng_value_ma30,gt_bitcoin_ma30,hr_hash_rate_ma30,fg_fng_value_z91d,m2_ma30,m2_lag30,rsi_14,sma_50,sma_200,macd_12_26,macd_signal_9,sma_ratio_50_200
2019-08-16,10374.3388671875,2888.679931640625,31.0,55.94442656591569,41.666666666666664,10.156133333333337,70370535.22713101,-1.32229569150919,14846.87,14871.6,45.18683071409973,10871.83615234375,8800.996136042077,41.414733083553074,166.75836451297266,1.2352960942479128
2019-08-17,10231.744140625,2888.679931640625,20.0,55.101899972619464,41.0,10.009233333333333,70805190.06044202,-1.8049789664007976,14848.646666666667,14871.6,43.747861410549774,10828.32439453125,8812.17385482788,-10.187788169110718,131.369133976556,1.2287915073984597
2019-08-18,10345.810546875,2888.679931640625,14.0,53.19359740311092,40.06666666666667,9.9113,71124240.17824025,-2.0212900299263907,14851.883333333331,14827.8,45.2498409285134,10796.05318359375,8824.062511355378,-41.40169932810022,96.81496731562476,1.2234787740568116
2019-08-19,10916.0537109375,2923.64990234375,30.0,53.749321723270306,39.93333333333333,9.9113,71443290.2960385,-1.237182213014446,14855.12,14827.8,52.13106569062628,10798.03115234375,8840.154751352164,-19.895745418300063,73.4728247688398,1.2214753537761445
2019-08-20,10763.232421875,2900.510009765625,39.0,54.75649138561218,39.833333333333336,9.9309,71787142.7200547,-0.7981718498514561,14858.356666666665,14827.8,50.3062834485056,10801.63310546875,8854.834733569895,-15.010491249871848,55.776161565097475,1.219857109757032
2019-08-21,10138.0498046875,2924.429931640625,11.0,54.24560581901074,38.8,9.9211,72130995.14407091,-2.0360973909352467,14861.593333333332,14827.8,43.584906121452306,10788.360546875,8864.556059866241,-60.88407079383978,32.444115093310025,1.2170220904483495
2019-08-22,10131.0556640625,2922.949951171875,5.0,52.94988370065891,37.63333333333333,9.862333333333334,72369819.56336567,-2.2200891067041337,14864.83,14827.8,43.51485972784072,10751.75626953125,8874.07861328125,-96.68901104716132,6.617489865215752,1.2115912804107687
2019-08-23,10407.96484375,2847.110107421875,33.0,53.45471512897928,38.06666666666667,9.793766666666668,72608643.9826604,-0.9511324728571148,14867.633333333331,14827.8,47.13718642030053,10735.60681640625,8885.525525448928,-101.5498244210212,-15.015972992031635,1.2082129285047378
2019-08-24,10159.9609375,2847.110107421875,39.0,53.11299067599645,37.96666666666667,9.715433333333332,73068116.18277438,-0.6696490053717501,14870.436666666668,14827.8,44.39145153110449,10719.2368359375,8894.965787760417,-123.9846784242327,-36.80971407847185,1.2050902827178156
2019-08-25,10138.517578125,2847.110107421875,33.0,54.26240518197653,38.266666666666666,9.666466666666668,73527588.38288835,-0.917107208419703,14874.316666666668,14795.5,44.15197439201644,10697.836171875,8904.109550924863,-141.859493807955,-57.81967002436848,1.201449298292138
2019-08-26,10370.8203125,2878.3798828125,41.0,54.89257512472464,38.06666666666667,9.637066666666668,73569083.69828168,-0.5490901041291713,14878.196666666669,14795.5,47.45879707474446,10676.23564453125,8914.815468892564,-135.71607412929734,-73.39895084535426,1.1975834700992969
2019-08-27,10185.5,2869.159912109375,30.0,54.31783959303096,38.53333333333333,9.637066666666668,73610579.01367497,-1.014849077791879,14882.076666666668,14795.5,45.161461402071446,10634.226484375,8924.023327813633,-144.1396184080786,-87.54708435789914,1.1916403727039966
2019-08-28,9754.4228515625,2887.93994140625,32.0,56.0953740738131,38.96666666666667,9.627266666666666,73649337.35937959,-0.9064116183017956,14885.956666666669,14795.5,40.27735282078113,10577.83869140625,8929.997425106789,-183.4845653006232,-106.73458054644396,1.1845287504413535
2019-08-29,9510.2001953125,2924.580078125,20.0,56.10183547356849,38.9,9.627266666666666,73688095.70508422,-1.40229585894366,14889.836666666668,14795.5,37.78423076444147,10524.91244140625,8934.141730608259,-231.7015354124378,-131.72797151964272,1.1780552356079184
2019-08-30,9598.173828125,2926.4599609375,24.0,56.84947584051062,38.666666666666664,9.5881,73833913.45957316,-1.200014438547903,14891.653333333334,14795.5,39.24314304401466,10489.70267578125,8938.851178108378,-259.82005085502897,-157.34638738671998,1.1734956166930006
2019-08-31,9630.6640625,2926.4599609375,20.0,55.83971660570929,37.43333333333333,9.509733333333331,73979731.21406211,-1.342328911438881,14893.47,14795.5,39.80454946472363,10445.99623046875,8943.723099829445,-276.2975009427555,-181.1366100979271,1.1679695484610824
2019-09-01,9757.970703125,2926.4599609375,24.0,56.85488196647447,36.2,9.4118,73987530.51709557,-1.1441390711199508,14894.88,14807.7,42.06355260501765,10413.30806640625,8949.41713901333,-275.9029790990353,-200.0898838981487,1.163573884718297
2019-09-02,10346.7607421875,2926.4599609375,28.0,58.01465892185707,35.1,9.402,73995329.82012905,-0.9517379177632266,14896.29,14807.7,51.18742076270472,10415.122109375,8959.120914035373,-225.48068132932167,-205.16804338438337,1.162516078230248
2019-09-03,10623.5400390625,2906.27001953125,41.0,59.18428843792599,34.4,9.441166666666668,74428314.60812977,-0.3938184279917611,14897.7,14807.7,54.791582530606824,10409.69111328125,8970.599666621767,-161.32719151596393,-196.39987301069948,1.1604231043788655
2019-09-04,10594.4931640625,2937.780029296875,43.0,60.198415969661525,33.7,9.304033333333331,74861299.3961305,-0.3171893413410521,14899.11,14807.7,54.338134271065606,10432.02814453125,8981.722224823416,-111.54312893836504,-179.42852419623262,1.1614730319425288
2019-09-05,10575.533203125,2976.0,41.0,60.70317567059812,32.86666666666667,9.137533333333334,75142557.48396796,-0.4074162315748166,14900.52,14807.7,54.02385037033705,10449.66275390625,8992.564476376489,-72.77985025362614,-158.09878940771134,1.1620336758616037
2019-09-06,10353.302734375,2978.7099609375,43.0,60.91748432967196,32.8,9.0396,75423815.57180542,-0.3303683300375224,14905.756666666666,14807.7,50.34805790983153,10443.39916015625,9001.758653795398,-59.30814679403193,-138.34066088497545,1.1601509840249953
2019-09-07,10517.2548828125,2978.7099609375,39.0,58.99865569526833,32.06666666666667,8.912266666666666,75751704.64683239,-0.4929331007847369,14910.993333333334,14807.7,52.89450809777281,10443.129609375,9011.929769426384,-34.998713190570925,-117.67227134609456,1.1588116947830711
2019-09-08,10441.2763671875,2978.7099609375,43.0,57.57352080500005,31.5,8.794733333333333,76079593.72185935,-0.3106213711922572,14911.76,14941.8,51.574453317595875,10436.61234375,9021.458746744793,-21.614979127283732,-98.4608129023324,1.1568652738689111
2019-09-09,10334.974609375,2978.429931640625,41.0,57.052196669909925,30.9,8.745766666666666,76187173.31319162,-0.3948051217345023,14912.526666666668,14941.8,49.70541004178076,10431.3297265625,9030.15752729201,-19.362735351891388,-82.6411973922442,1.1551658644974574
2019-09-10,10115.9755859375,2979.389892578125,41.0,56.26639299600459,30.766666666666666,8.726166666666666,76294752.90452388,-0.3854300381965572,14913.293333333331,14941.8,46.006369410581165,10426.787109375,9037.301067151522,-34.847506510323,-73.08245921585996,1.1537501110009418
2019-09-11,10178.3720703125,3000.929931640625,38.0,56.94974914099381,30.433333333333337,8.667399999999999,77378430.32184656,-0.5049869995149466,14914.06,14941.8,47.21175308802072,10432.33919921875,9044.759047564336,-41.60482981524365,-66.78693333573669,1.1534126165614187
2019-09-12,10410.126953125,3009.570068359375,39.0,57.50939870460186,30.233333333333334,8.598833333333335,78462107.73916923,-0.4504834112433007,14914.826666666666,14941.8,51.53915482502985,10444.30322265625,9053.625072925122,-27.937330871773156,-59.017012842943984,1.153604565964406
2019-09-13,10360.546875,3007.389892578125,38.0,57.20591106044405,31.133333333333333,8.4715,78670876.88596864,-0.4810210172190211,14917.3,14941.8,50.583800597783416,10453.27732421875,9062.056826486894,-20.865908235187817,-51.38679192139275,1.1535214934500904
2019-09-14,10358.048828125,3007.389892578125,39.0,55.065099256689194,32.0,8.285433333333334,78879646.03276804,-0.4228827407194137,14919.773333333334,14941.8,50.532975284213755,10463.0322265625,9070.364467523035,-15.287106111250978,-44.166854759364405,1.1535404408528442
2019-09-15,10347.712890625,3007.389892578125,38.0,54.52215963634083,32.233333333333334,8.158133333333334,79343726.69696541,-0.4506909901932797,14922.81,14924.9,50.30773950114965,10480.4329296875,9078.500444740246,-11.566556941657836,-37.646795195823096,1.1544233536673427
2019-09-16,10276.7939453125,2997.9599609375,38.0,52.136514845283045,32.833333333333336,8.128733333333333,79807807.3611628,-0.4339810254172715,14925.846666666666,14924.9,48.70367678643608,10494.9116015625,9086.084580819816,-14.177135914151222,-32.95286333948872,1.1550532584427655
2019-09-17,10241.2724609375,3005.699951171875,41.0,49.09320673702141,33.733333333333334,8.089533333333334,80632486.47805865,-0.282818450996537,14928.883333333331,14924.9,47.880191320204574,10509.354140625,9093.349913399175,-18.894521202695618,-30.141194912130103,1.1557186560190895
2019-09-18,10198.248046875,3006.72998046875,38.0,48.24306535928558,34.0,8.020966666666668,81457165.59495454,-0.4022917102245566,14931.92,14924.9,46.84699122996381,10521.170625,9100.2555267334,-25.807303149387735,-29.27441655958163,1.156140131899862
2019-09-19,10266.4150390625,3006.7900390625,31.0,46.395406051995245,33.733333333333334,7.9524,81791441.1823935,-0.7068267207415725,14934.956666666669,14924.9,48.734536167364745,10524.7863671875,9107.498753518052,-25.491377341675616,-28.51780871600043,1.155617656617518
2019-09-20,10181.6416015625,2992.070068359375,41.0,46.6940578838762,34.733333333333334,7.864233333333333,82125716.76983245,-0.223577174829878,14938.183333333332,14924.9,46.52196211177849,10520.4258203125,9114.129264925734,-31.715910514074498,-29.157429075615244,1.1542985088875872
2019-09-21,10019.716796875,2992.070068359375,37.0,46.491709542645985,35.8,7.766299999999999,83017132.74845415,-0.3954763500973304,14941.41,14924.9,42.54837926870387,10510.45666015625,9119.685016655483,-49.14832507704887,-33.15560827590197,1.1525021578004906
